Date,Open,High,Low,Close,Adj Close,Volume
2015-02-05,45700.000000,46000.000000,45150.000000,45350.000000,45350.000000,1203424
2015-02-06,45350.000000,45600.000000,44000.000000,44500.000000,44500.000000,2714991
2015-02-09,44000.000000,44150.000000,43100.000000,43200.000000,43200.000000,2034092
2015-02-10,43000.000000,44000.000000,42950.000000,43500.000000,43500.000000,1533438
2015-02-11,43500.000000,44100.000000,43500.000000,44000.000000,44000.000000,825954
2015-02-12,44450.000000,44500.000000,43800.000000,44200.000000,44200.000000,1024650
2015-02-13,44300.000000,45800.000000,44250.000000,45000.000000,45000.000000,1315263
2015-02-16,45250.000000,45450.000000,44500.000000,45050.000000,45050.000000,728683
2015-02-17,45100.000000,46000.000000,45100.000000,45750.000000,45750.000000,902848
2015-02-23,46350.000000,46400.000000,45850.000000,46250.000000,46250.000000,1348149
2015-02-24,46600.000000,46900.000000,46100.000000,46300.000000,46300.000000,938755
2015-02-25,46400.000000,46600.000000,46000.000000,46550.000000,46550.000000,891207
2015-02-26,46150.000000,46500.000000,46000.000000,46300.000000,46300.000000,998414
2015-02-27,46050.000000,46200.000000,45100.000000,45500.000000,45500.000000,1865265
2015-03-02,45400.000000,45750.000000,45000.000000,45500.000000,45500.000000,758527
2015-03-03,45500.000000,47350.000000,45500.000000,46700.000000,46700.000000,1909279
2015-03-04,47250.000000,47800.000000,46600.000000,46750.000000,46750.000000,1475861
2015-03-05,46300.000000,47350.000000,46300.000000,46900.000000,46900.000000,781005
2015-03-06,47100.000000,48500.000000,47100.000000,48000.000000,48000.000000,1791270
2015-03-09,47950.000000,48150.000000,47350.000000,47750.000000,47750.000000,832777
2015-03-10,47950.000000,48350.000000,47350.000000,47450.000000,47450.000000,755746
2015-03-11,46700.000000,48150.000000,46500.000000,47300.000000,47300.000000,1454138
2015-03-12,47350.000000,47900.000000,46850.000000,46850.000000,46850.000000,1677945
2015-03-13,47150.000000,47300.000000,46100.000000,46350.000000,46350.000000,1217606
2015-03-16,46400.000000,46550.000000,45750.000000,46100.000000,46100.000000,1239892
2015-03-17,46350.000000,47750.000000,46250.000000,47350.000000,47350.000000,1558351
2015-03-18,47500.000000,48150.000000,47350.000000,47550.000000,47550.000000,1549610
2015-03-19,48200.000000,48300.000000,47050.000000,47350.000000,47350.000000,1273389
2015-03-20,47100.000000,47300.000000,46450.000000,47000.000000,47000.000000,1055866
2015-03-23,47100.000000,47150.000000,46400.000000,46600.000000,46600.000000,676639
2015-03-24,46600.000000,46600.000000,45550.000000,46000.000000,46000.000000,1302665
2015-03-25,45600.000000,45950.000000,45050.000000,45100.000000,45100.000000,1209994
2015-03-26,44850.000000,45850.000000,44850.000000,45250.000000,45250.000000,1125494
2015-03-27,45000.000000,45800.000000,45000.000000,45400.000000,45400.000000,698131
2015-03-30,45200.000000,45700.000000,45100.000000,45250.000000,45250.000000,559632
2015-03-31,45550.000000,45750.000000,44900.000000,45200.000000,45200.000000,964411
2015-04-01,45050.000000,45250.000000,44000.000000,44250.000000,44250.000000,1570726
2015-04-02,44450.000000,45050.000000,44200.000000,44300.000000,44300.000000,819444
2015-04-03,44500.000000,44950.000000,44500.000000,44700.000000,44700.000000,447075
2015-04-06,44700.000000,44700.000000,44000.000000,44050.000000,44050.000000,785438
2015-04-07,44150.000000,44450.000000,44000.000000,44100.000000,44100.000000,800116
2015-04-08,44000.000000,44350.000000,43950.000000,44000.000000,44000.000000,1207854
2015-04-09,43750.000000,44750.000000,43750.000000,44100.000000,44100.000000,1152939
2015-04-10,44000.000000,45400.000000,44000.000000,45050.000000,45050.000000,2178522
2015-04-13,45450.000000,45700.000000,44900.000000,44950.000000,44950.000000,1277999
2015-04-14,45150.000000,47250.000000,45100.000000,47000.000000,47000.000000,3310220
2015-04-15,47600.000000,47600.000000,46700.000000,47300.000000,47300.000000,1705210
2015-04-16,46750.000000,47000.000000,46300.000000,46750.000000,46750.000000,1386838
2015-04-17,47250.000000,47750.000000,46900.000000,47500.000000,47500.000000,1668378
2015-04-20,46950.000000,47950.000000,46550.000000,47850.000000,47850.000000,1560337
2015-04-21,47900.000000,48200.000000,47500.000000,47900.000000,47900.000000,1618542
2015-04-22,47800.000000,48050.000000,47400.000000,47600.000000,47600.000000,1321200
2015-04-23,48200.000000,49850.000000,48000.000000,49500.000000,49500.000000,3057927
2015-04-24,50100.000000,51100.000000,50000.000000,50700.000000,50700.000000,3076331
2015-04-27,51700.000000,52000.000000,51000.000000,51900.000000,51900.000000,2236534
2015-04-28,51800.000000,51800.000000,49700.000000,50100.000000,50100.000000,1798255
2015-04-29,49700.000000,51000.000000,48500.000000,50700.000000,50700.000000,1746117
2015-04-30,49600.000000,50000.000000,48900.000000,49600.000000,49600.000000,1134521
2015-05-04,49600.000000,51000.000000,49550.000000,50800.000000,50800.000000,963558
